,0,1,2,3
0,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 17.50
1,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 17.50
2,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 17.50
3,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 16.50
4,Mã ngành: 7510104,Tên ngành: Công nghệ kĩ thuật giao thông,Tổ hợp môn:,NV1: 14.50
5,Mã ngành: 7520103,Tên ngành: Kĩ thuật cơ khí,Tổ hợp môn:,NV1: 17.50
6,Mã ngành: 7520201,"Tên ngành: Kĩ thuật điện, điện tử:",Tổ hợp môn:,NV1: 17.50
7,Mã ngành: 7520207,"Tên ngành: Kĩ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 17.50
8,Mã ngành: 7520216,Tên ngành: Kĩ thuật điều khiển và tự động hoá,Tổ hợp môn:,NV1: 17.50
9,Mã ngành: 7520320,Tên ngành: Kĩ thuật môi trường,Tổ hợp môn:,NV1: 16.50
10,Mã ngành: 7580205,Tên ngành: Kĩ thuật xây dựng công trình giao thông,Tổ hợp môn:,NV1: 17.50
11,Mã ngành: 7580208,Tên ngành: Kĩ thuật xây dựng,Tổ hợp môn:,NV1: 17.50
12,Mã ngành: 7580301,Tên ngành: Kinh tế xây dựng,Tổ hợp môn:,NV1: 17.50
13,Mã ngành: 7840101,Tên ngành: Khai thác vận tải,Tổ hợp môn:,NV1: 17.50
14,Mã ngành: 7840104,Tên ngành: Kinh tế vận tải,Tổ hợp môn:,NV1: 17.50
