,0,1,2,3
0,Mã ngành: 7210402,Tên ngành: Thiết kế công nghiệp,"Tổ hợp môn: A00,A17,C15,D01",NV1: 15.50
1,Mã ngành: 7210405,Tên ngành: Thiết kế nội thất,"Tổ hợp môn: A00,A17,C15,D01",NV1: 15.50
2,Mã ngành: 7310101,Tên ngành: Kinh tế,"Tổ hợp môn: A00,A16,C15,D01",NV1: 15.50
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00,A16,C15,D01",NV1: 15.50
4,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và Lữ hành,"Tổ hợp môn: A00,C00,C15,D01",NV1: 15.50
5,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,C16,C15,D01",NV1: 15.50
6,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00,A16,B00,D08",NV1: 15.50
7,Mã ngành: 7420201A,Tên ngành: Công nghệ sinh học (chất lượng cao),"Tổ hợp môn: A00,A16,B00,D08",NV1: 15.50
8,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
9,Mã ngành: 7480104,Tên ngành: Hệ thống thông tin,"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
10,Mã ngành: 7510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử,"Tổ hợp môn: A00,A01,A16,D01",NV1: 15.50
11,Mã ngành: 7510205,Tên ngành: Công nghệ kỹ thuật ô tô,"Tổ hợp môn: A00,A01,A16,D01",NV1: 15.50
12,Mã ngành: 7510210,Tên ngành: Công thôn,"Tổ hợp môn: A00,A01,A16,D01",NV1: 15.50
13,Mã ngành: 7515402,Tên ngành: Công nghệ vật liệu,"Tổ hợp môn: A00,A16,D01,D07",NV1: 15.50
14,Mã ngành: 7520103,Tên ngành: Kỹ thuật cơ khí,"Tổ hợp môn: A00,A01,A16,D01",NV1: 15.50
15,Mã ngành: 7520103A,Tên ngành: Kỹ thuật cơ khí (chất lượng cao),"Tổ hợp môn: A00,A01,A16,D01",NV1: 15.50
16,Mã ngành: 7540301,Tên ngành: Công nghệ chế biến lâm sản,"Tổ hợp môn: A00,A16,D01,D07",NV1: 15.50
17,Mã ngành: 7540301A,Tên ngành: Công nghệ chế biến lâm sản (chất lượng cao),"Tổ hợp môn: A00,A16,D01,D07",NV1: 15.50
18,Mã ngành: 7580110,Tên ngành: Kiến trúc cảnh quan,"Tổ hợp môn: A00,A17,C15,D01",NV1: 15.50
19,Mã ngành: 7580201,Tên ngành: Kỹ thuật công trình xây dựng,"Tổ hợp môn: A00,A01,A16,D01",NV1: 15.50
20,Mã ngành: 7620102,Tên ngành: Khuyến nông,"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
21,Mã ngành: 7620105,Tên ngành: Chăn nuôi,"Tổ hợp môn: A00,A16,B00,D08",NV1: 15.50
22,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
23,Mã ngành: 7620112,Tên ngành: Bảo vệ thực vật,"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
24,Mã ngành: 7620115,Tên ngành: Kinh tế nông nghiệp,"Tổ hợp môn: A00,A16,C15,D01",NV1: 15.50
25,Mã ngành: 7620201,Tên ngành: Lâm nghiệp,"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
26,Mã ngành: 7620201A,Tên ngành: Lâm nghiệp (Tiếng Anh),"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
27,Mã ngành: 7620202,Tên ngành: Lâm nghiệp đô thị,"Tổ hợp môn: A00,A17,B00,D01",NV1: 15.50
28,Mã ngành: 7620205,Tên ngành: Lâm sinh,"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
29,Mã ngành: 7620211,Tên ngành: Quản lý tài nguyên rừng (Kiểm lâm),"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
30,Mã ngành: 7640101,Tên ngành: Thú y,"Tổ hợp môn: A00,A16,B00,D08",NV1: 15.50
31,Mã ngành: 7760101,Tên ngành: Công tác xã hội,"Tổ hợp môn: A00,C00,C15,D01",NV1: 15.50
32,Mã ngành: 7850101,Tên ngành: Quản lí tài nguyên thiên nhiên,"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
33,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
34,Mã ngành: 7908532,Tên ngành: Quản lý tài nguyên thiên nhiên *(T.Việt),"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
35,Mã ngành: 7908532A,Tên ngành: Quản lý tài nguyên thiên nhiên (CT tiên tiến)- Tiếng Anh,"Tổ hợp môn: A00,A16,B00,D01",NV1: 15.50
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
