,0,1,2,3
0,Mã ngành: 7140101,Tên ngành: Giáo dục học,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 15.00
2,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 18.00
3,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,Tổ hợp môn:,NV1: 14.00
4,Mã ngành: 7140218,Tên ngành: Sư phạm Lịch sử,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 16.00
6,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 13.00
7,Mã ngành: 7340101,Tên ngành: Quản trị Kinh doanh (Quản trị Kinh doanh tổng hợp; Quản trị Kinh doanh thương mại; Marketing),Tổ hợp môn:,NV1: 16.00
8,Mã ngành: 7340201,Tên ngành: Tài chính Ngân hàng,Tổ hợp môn:,NV1: 14.00
9,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.00
10,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 17.00
11,Mã ngành: 7440112,Tên ngành: Hóa học,Tổ hợp môn:,NV1: 17.00
12,Mã ngành: 7440112,Tên ngành: Hóa học,Tổ hợp môn:,NV1: 16.00
13,Mã ngành: 7440301,Tên ngành: Khoa học Môi trường,Tổ hợp môn:,NV1: 16.50
14,Mã ngành: 7440301,Tên ngành: Khoa học Môi trường,Tổ hợp môn:,NV1: 15.50
15,Mã ngành: 7480103,Tên ngành: Kỹ thuật Phần mềm,Tổ hợp môn:,NV1: 13.00
16,Mã ngành: 7480104,Tên ngành: Hệ thống Thông tin,Tổ hợp môn:,NV1: 13.00
17,Mã ngành: 7510601,Tên ngành: Quản lý Công nghiệp,Tổ hợp môn:,NV1: 13.00
18,Mã ngành: 7520201,Tên ngành: Kỹ thuật Điện - Điện tử,Tổ hợp môn:,NV1: 14.00
19,Mã ngành: 7580102,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 13.50
20,Mã ngành: 7580105,Tên ngành: Quy hoạch Vùng và đô thị,Tổ hợp môn:,NV1: 13.00
21,Mã ngành: 7580208,Tên ngành: Kỹ thuật Xây dựng,Tổ hợp môn:,NV1: 13.00
22,Mã ngành: 7760101,Tên ngành: Công tác Xã hội,Tổ hợp môn:,NV1: 13.00
23,Mã ngành: C140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 13.00
24,Mã ngành: C140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 14.50
25,Mã ngành: C140209,Tên ngành: Sư phạm Toán học,Tổ hợp môn:,NV1: 15.00
26,Mã ngành: C140211,Tên ngành: Sư phạm Vật lý,Tổ hợp môn:,NV1: 11.50
27,Mã ngành: C140213,Tên ngành: Sư phạm Sinh học,Tổ hợp môn:,NV1: 11.50
28,Mã ngành: C140219,Tên ngành: Sư phạm Địa lý,Tổ hợp môn:,NV1: 11.50
29,Mã ngành: C140231,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 11.50
30,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 11.50
31,Mã ngành: C510301,"Tên ngành: Công nghệ Kỹ thuật Điện, điện tử",Tổ hợp môn:,NV1: 11.50
32,Mã ngành: C760101,Tên ngành: Công tác Xã hội,Tổ hợp môn:,NV1: 11.50
33,,,,
34,,,,
35,,,,
