,0,1,2,3
0,Mã ngành: 7110104,Tên ngành: Cấp thoát nước,Tổ hợp môn:,NV1: 18.25
1,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 20.25
2,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 20.00
3,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 20.50
4,Mã ngành: 7440224,Tên ngành: Thuỷ văn,Tổ hợp môn:,NV1: 17.50
5,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 20.00
6,Mã ngành: 7510103,Tên ngành: Công nghệ kỹ thuật xây dựng,Tổ hợp môn:,NV1: 18.75
7,Mã ngành: 7520103,Tên ngành: Kỹ thuật cơ khí,Tổ hợp môn:,NV1: 19.25
8,Mã ngành: 7520201,"Tên ngành: Kỹ thuật điện, điện tử",Tổ hợp môn:,NV1: 20.00
9,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,Tổ hợp môn:,NV1: 19.00
10,Mã ngành: 7520503,Tên ngành: Kỹ thuật trắc địa - bản đồ,Tổ hợp môn:,NV1: 17.50
11,Mã ngành: 7580201,Tên ngành: Kỹ thuật công trình xây dựng,Tổ hợp môn:,NV1: 20.50
12,Mã ngành: 7580202,Tên ngành: Kỹ thuật công trình thủy,Tổ hợp môn:,NV1: 19.00
13,Mã ngành: 7580203,Tên ngành: Kỹ thuật công trình biển,Tổ hợp môn:,NV1: 17.75
14,Mã ngành: 7580205,Tên ngành: Kỹ thuật xây dựng công trình giao thông,Tổ hợp môn:,NV1: 19.75
15,Mã ngành: 7580211,Tên ngành: Kỹ thuật cơ sở hạ tầng,Tổ hợp môn:,NV1: 18.25
16,Mã ngành: 7580212,Tên ngành: Kỹ thuật tài nguyên nước,Tổ hợp môn:,NV1: 18.25
17,Mã ngành: 7580302,Tên ngành: Quản lý xây dựng,Tổ hợp môn:,NV1: 19.00
18,Mã ngành: 7900202,Tên ngành: Chương trình tiên tiến ngành Kỹ thuật xây dựng,Tổ hợp môn:,NV1: 17.00
19,Mã ngành: 7900212,Tên ngành: Chương trình tiên tiến ngành Kỹ thuật tài nguyên nước,Tổ hợp môn:,NV1: 17.00
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
