,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 25.00
1,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 26.00
2,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,Tổ hợp môn:,NV1: 24.50
3,Mã ngành: 7420201,Tên ngành: Công nghệ Sinh học,Tổ hợp môn:,NV1: 22.50
4,Mã ngành: 7440112,Tên ngành: Hóa sinh,Tổ hợp môn:,NV1: 23.00
5,Mã ngành: 7460112,Tên ngành: Toán ứng dụng (Kỹ thuật tài chính và Quản trị rủi ro),Tổ hợp môn:,NV1: 18.00
6,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 23.50
7,Mã ngành: 7510602,Tên ngành: Kỹ thuật Hệ thống công nghiệp,Tổ hợp môn:,NV1: 22.00
8,Mã ngành: 7510605,Tên ngành: Logistics và quản lý chuỗi cung ứng,Tổ hợp môn:,NV1: 26.00
9,Mã ngành: 7520207,"Tên ngành: Kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 18.50
10,Mã ngành: 7520212,Tên ngành: Kỹ thuật Y Sinh,Tổ hợp môn:,NV1: 24.50
11,Mã ngành: 7520216,Tên ngành: Kỹ thuật điều khiển và tự động hóa,Tổ hợp môn:,NV1: 19.50
12,Mã ngành: 7520320,Tên ngành: Kỹ thuật Môi trường,Tổ hợp môn:,NV1: 18.00
13,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 22.00
14,Mã ngành: 7580208,Tên ngành: Kỹ thuật xây dựng,Tổ hợp môn:,NV1: 17.50
15,Mã ngành: 7620305,Tên ngành: Quản lý nguồn lợi thủy sản,Tổ hợp môn:,NV1: 17.50
16,Mã ngành: 7900109,Tên ngành: Kỹ thuật Không gian,Tổ hợp môn:,NV1: 18.50
17,,,,
18,,,,
