,0,1,2,3
0,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00,C00,D01,D15",NV1: 15.00
1,Mã ngành: 7340107,Tên ngành: Quản trị khách sạn,"Tổ hợp môn: A00,C00,D01,D15",NV1: 15.00
2,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.00
3,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.00
4,Mã ngành: 7510206,Tên ngành: Công nghệ kỹ thuật nhiệt,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.00
5,Mã ngành: 7510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử","Tổ hợp môn: A00,A01,D01,D07",NV1: 15.00
6,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật điều khiển và tự động hóa,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.00
7,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hóa học,"Tổ hợp môn: A00,A01,A02,B00",NV1: 15.00
8,Mã ngành: 7510601,Tên ngành: Quản lý công nghiệp,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.00
9,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm*,"Tổ hợp môn: A00,A01,A02,B00",NV1: 15.00
