,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 26.00
1,Mã ngành: 7220202,Tên ngành: Ngôn ngữ Nga,Tổ hợp môn:,NV1: 20.00
2,Mã ngành: 7220203,Tên ngành: Ngôn ngữ Pháp,Tổ hợp môn:,NV1: 20.00
3,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 27.00
4,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung,Tổ hợp môn:,NV1: 28.50
5,Mã ngành: 7220205,Tên ngành: Ngôn ngữ Đức,Tổ hợp môn:,NV1: 20.00
6,Mã ngành: 7220205,Tên ngành: Ngôn ngữ Đức,Tổ hợp môn:,NV1: 24.00
7,Mã ngành: 7220206,Tên ngành: Ngôn ngữ Tây Ban Nha,Tổ hợp môn:,NV1: 23.00
8,Mã ngành: 7220207,Tên ngành: Ngôn ngữ Bồ Đào Nha,Tổ hợp môn:,NV1: 20.00
9,Mã ngành: 7220208,Tên ngành: Ngôn ngữ Ý,Tổ hợp môn:,NV1: 22.00
10,Mã ngành: 7220208,Tên ngành: Ngôn ngữ Italia,Tổ hợp môn:,NV1: 20.00
11,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,Tổ hợp môn:,NV1: 28.50
12,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,Tổ hợp môn:,NV1: 31.00
13,Mã ngành: 7220210,Tên ngành: Ngôn ngữ Hàn Quốc,Tổ hợp môn:,NV1: 29.50
14,Mã ngành: 7220212,Tên ngành: Quốc tế học,Tổ hợp môn:,NV1: 20.50
15,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 28.00
16,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 20.50
17,Mã ngành: 7340103,Tên ngành: Quản tri dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 20.50
18,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 21.00
19,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 28.50
20,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 28.00
21,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 21.00
22,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 26.50
23,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 19.00
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
