,0,1,2,3
0,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,"Tổ hợp môn: M00,M10,M11,M13",NV1: 17.50
1,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,"Tổ hợp môn: A00,A01,C04,D01",NV1: 28.75
2,Mã ngành: 7140204,Tên ngành: Giáo dục Công dân,"Tổ hợp môn: C00,C19,D01,D66",NV1: 19.00
3,Mã ngành: 7140206,Tên ngành: Giáo dục Thể chất,"Tổ hợp môn: T00,T02,T03,T05",NV1: 21.00
4,Mã ngành: 7140208,Tên ngành: Giáo dục Quốc phòng - An ninh,"Tổ hợp môn: A00,B00,C00,D01",NV1: 21.50
5,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,"Tổ hợp môn: A00,A01,D01,D84",NV1: 30.00
6,Mã ngành: 7140210,Tên ngành: Sư phạm Tin học,"Tổ hợp môn: A00,A01,C01,D01",NV1: 24.00
7,Mã ngành: 7140211,Tên ngành: Sư phạm Vật lý,"Tổ hợp môn: A00,A01,A01,C01",NV1: 28.50
8,Mã ngành: 7140212,Tên ngành: Sư phạm Hóa học,"Tổ hợp môn: A00,A06,B00,D07",NV1: 28.00
9,Mã ngành: 7140213,Tên ngành: Sư phạm Sinh học,"Tổ hợp môn: B00,B02,B03,D08",NV1: 26.00
10,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,"Tổ hợp môn: C00,C14,D01,D15",NV1: 28.50
11,Mã ngành: 7140218,Tên ngành: Sư phạm Lịch sử,"Tổ hợp môn: C00,C03,C19,D65",NV1: 27.00
12,Mã ngành: 7140231,Tên ngành: Sư phạm Tiếng Anh,"Tổ hợp môn: A01,D01,D11,D12",NV1: 29.00
13,Mã ngành: 7220113,Tên ngành: Việt Nam học,"Tổ hợp môn: C00,C14,D01,D15",NV1: 26.00
14,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: A01,D01,D11,D12",NV1: 28.00
15,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,"Tổ hợp môn: A01,D01,D04,D11",NV1: 24.00
16,Mã ngành: 7220330,Tên ngành: Văn học,"Tổ hợp môn: C00,C14,D01,D15",NV1: 28.50
17,Mã ngành: 7440112,Tên ngành: Hóa học,"Tổ hợp môn: A00,A06,B00,D07",NV1: 28.00
18,,,,
19,,,,
20,,,,
