,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.00
1,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, D07",NV1: 18.00
2,Mã ngành: 7340201,Tên ngành: Tài chính ngân hàng,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.00
3,Mã ngành: 7340201,Tên ngành: Tài chính ngân hàng,"Tổ hợp môn: A00, A01, D01, D07",NV1: 18.00
4,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.00
5,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01, D07",NV1: 18.00
6,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01, D01, D07",NV1: 18.00
7,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.00
8,Mã ngành: 7510102,Tên ngành: Công nghệ kỹ thuật công trình xây dựng,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.00
9,Mã ngành: 7510102,Tên ngành: Công nghệ kỹ thuật công trình xây dựng,"Tổ hợp môn: A00, A01, D01, D07",NV1: 18.00
10,Mã ngành: 7510201,Tên ngành: Công nghệ kỹ thuật cơ khí,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.00
11,Mã ngành: 7510201,Tên ngành: Công nghệ kỹ thuật cơ khí,"Tổ hợp môn: A00, A01, D01, D07",NV1: 18.00
12,Mã ngành: 7510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử","Tổ hợp môn: A00, A01, D01, D07",NV1: 13.00
13,Mã ngành: 7510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử","Tổ hợp môn: A00, A01, D01, D07",NV1: 18.00
14,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật điều khiển và tự động hóa,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.00
15,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật điều khiển và tự động hóa,"Tổ hợp môn: A00, A01, D01, D07",NV1: 18.00
16,Mã ngành: 7520501,Tên ngành: Kỹ thuật địa chất,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.00
17,Mã ngành: 7520501,Tên ngành: Kỹ thuật địa chất,"Tổ hợp môn: A00, A01, D01, D07",NV1: 18.00
18,Mã ngành: 7520503,Tên ngành: Kỹ thuật trắc địa – Bản đồ; chuyên ngành: Trắc địa mỏ,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.00
19,Mã ngành: 7520503,Tên ngành: Kỹ thuật trắc địa – Bản đồ; chuyên ngành: Trắc địa mỏ,"Tổ hợp môn: A00, A01, D01, D07",NV1: 18.00
20,Mã ngành: 7520601,Tên ngành: Kỹ thuật mỏ,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.00
21,Mã ngành: 7520601,Tên ngành: Kỹ thuật mỏ,"Tổ hợp môn: A00, A01, D01, D07",NV1: 18.00
22,Mã ngành: 7520607,Tên ngành: Kỹ thuật tuyển khoáng,"Tổ hợp môn: A00, A01, D01, D07",NV1: 13.00
23,Mã ngành: 7520607,Tên ngành: Kỹ thuật tuyển khoáng,"Tổ hợp môn: A00, A01, D01, D07",NV1: 18.00
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
