,0,1,2,3
0,Mã ngành: 7310101,Tên ngành: Kinh tế,"Tổ hợp môn: A00, A01, D01, A16",NV1: 14.00
1,Mã ngành: 7310101CL,Tên ngành: Kinh tế chuyên ngành Kế hoạch đầu tư CLC,"Tổ hợp môn: A00, A01, D01, A16",NV1: 14.00
2,Mã ngành: 7310102,Tên ngành: Kinh tế chính trị,"Tổ hợp môn: A00, A01, D01, C15",NV1: 15.00
3,Mã ngành: 7310107,Tên ngành: Thống kê kinh tế,"Tổ hợp môn: A00, A01, D01, A16",NV1: 14.00
4,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, C15",NV1: 18.00
5,Mã ngành: 7340101CL,Tên ngành: Quản trị kinh doanh chất lượng cao,"Tổ hợp môn: A00, A01, D01, C15",NV1: 16.00
6,Mã ngành: 7340115,Tên ngành: Marketing,"Tổ hợp môn: A00, A01, D01, C15",NV1: 18.00
7,Mã ngành: 7340121,Tên ngành: Kinh doanh thương mại,"Tổ hợp môn: A00, A01, D01, C15",NV1: 16.00
8,Mã ngành: 7340122,Tên ngành: Thương mại điện tử,"Tổ hợp môn: A00, A01, D01, C15",NV1: 16.00
9,Mã ngành: 7340201,Tên ngành: Tài chính Ngân hàng,"Tổ hợp môn: A00, D01, D03, D90",NV1: 15.00
10,Mã ngành: 7340201CL,Tên ngành: Tài chính ngân hàng Chất lượng cao,"Tổ hợp môn: A00, D90, D01, D03",NV1: 15.00
11,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01, A16",NV1: 16.50
12,Mã ngành: 7340302,Tên ngành: Kiểm toán,"Tổ hợp môn: A00, A01, D01, A16",NV1: 16.50
13,Mã ngành: 7340302CL,Tên ngành: Kiểm toán chất lượng cao,"Tổ hợp môn: A00, A01, D01, A16",NV1: 16.50
14,Mã ngành: 7340404,Tên ngành: Quản trị nhân lực,"Tổ hợp môn: A00, A01, D01, C15",NV1: 18.00
15,Mã ngành: 7340405,Tên ngành: Hệ thống thông tin quản lý,"Tổ hợp môn: A00, A01, D01, A16",NV1: 14.00
16,Mã ngành: 7340405CL,Tên ngành: Hệ thống thông tin quản lý ( Tin học kinh tế) CLC,"Tổ hợp môn: A00, A01, D01, A16",NV1: 14.00
17,Mã ngành: 7349001,"Tên ngành: Tài chính Ngân hàng ( liên kết trường ĐH Rennes I, Pháp)","Tổ hợp môn: A00, A90, D01, D03",NV1: 14.00
18,Mã ngành: 7349002,Tên ngành: Quản trị kinh doanh ( liên kết viện Công nghệ Tallaght - Ireland),"Tổ hợp môn: A00, A01, D01, C15",NV1: 15.00
19,Mã ngành: 7620114,Tên ngành: Kinh doanh nông nghiệp,"Tổ hợp môn: A00, A01, D01, A16",NV1: 14.00
20,Mã ngành: 7620115,Tên ngành: Kinh tế nông nghiệp,"Tổ hợp môn: A00, A01, D01, A16",NV1: 14.00
21,Mã ngành: 7903124,"Tên ngành: Song ngành Kinh tế Tài chính ( giảng dạy Tiếng Anh, liên kết trường ĐH Sydney, Australia)","Tổ hợp môn: A00, A01, D01, A16",NV1: 15.00
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
