,0,1,2,3
0,Mã ngành: 51140202,Tên ngành: Cao đẳng Giáo dục tiểu học,"Tổ hợp môn: C00, D01, D10",NV1: 16.00
1,Mã ngành: 7220201,Tên ngành: Ngôn ngữ ANh,"Tổ hợp môn: A01, D01, D10, D78",NV1: 19.00
2,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,"Tổ hợp môn: A01, D01, D04, D10",NV1: 17.00
3,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: D01, D06, D10, D78",NV1: 19.00
4,Mã ngành: 7220210,Tên ngành: Ngôn ngữ Hàn Quốc,"Tổ hợp môn: D01, D10, D15, D78",NV1: 15.00
5,Mã ngành: 7229042,Tên ngành: Quản lý văn hóa,"Tổ hợp môn: C00, D01, D15, D78",NV1: 15.00
6,Mã ngành: 7480101,Tên ngành: Khoa học máy tính,"Tổ hợp môn: A00, A01, D01, D90",NV1: 14.00
7,Mã ngành: 7620301,Tên ngành: Nuôi trồng thủy sản,"Tổ hợp môn: A00, A01, B00, D01",NV1: 15.00
8,Mã ngành: 7810103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00, A01, D01, D90",NV1: 16.00
9,Mã ngành: 7810201,Tên ngành: Quản trị khách sạn,"Tổ hợp môn: A00, A01, D01, D90",NV1: 16.00
10,Mã ngành: 7810202,Tên ngành: Quản trị nhà hàng và dịch vụ ăn uống,"Tổ hợp môn: A00, A01, D01, D90",NV1: 14.00
11,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,"Tổ hợp môn: A00, A01, B00, D10",NV1: 15.00
