,0,1,2,3
0,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn: M00,NV1: 19.75
1,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn: D01,NV1: 19.00
2,Mã ngành: 7140205,Tên ngành: Giáo dục Chính trị,"Tổ hợp môn: C00,C20",NV1: 17.00
3,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,"Tổ hợp môn: A00,A01",NV1: 22.50
4,Mã ngành: 7140210,Tên ngành: Sư phạm Tin học,"Tổ hợp môn: A00,A01",NV1: 17.25
5,Mã ngành: 7140211,Tên ngành: Sư phạm Vật lý,"Tổ hợp môn: A00,A01",NV1: 20.75
6,Mã ngành: 7140212,Tên ngành: Sư phạm Hóa học,"Tổ hợp môn: A00,D07",NV1: 20.75
7,Mã ngành: 7140213,Tên ngành: Sư phạm Sinh học,Tổ hợp môn: B00,NV1: 20.25
8,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,Tổ hợp môn: C00,NV1: 18.50
9,Mã ngành: 7140218,Tên ngành: Sư phạm Lịch sử,"Tổ hợp môn: C00,C19",NV1: 16.00
10,Mã ngành: 7140219,Tên ngành: Sư phạm Địa lý,Tổ hợp môn: C00,NV1: 16.75
11,Mã ngành: 7140221,Tên ngành: Sư phạm Âm nhạc,Tổ hợp môn: N00,NV1: 30.50
12,Mã ngành: 7220113,Tên ngành: Việt Nam học,"Tổ hợp môn: C00,D14,D15",NV1: 17.00
13,Mã ngành: 7220310,Tên ngành: Lịch sử,"Tổ hợp môn: C00,C19",NV1: 16.00
14,Mã ngành: 7220330,Tên ngành: Văn học,"Tổ hợp môn: C00,D14,D15",NV1: 16.00
15,Mã ngành: 7220340,Tên ngành: Văn hóa học,"Tổ hợp môn: C00,D14,D15",NV1: 16.00
16,Mã ngành: 7310401,Tên ngành: Tâm lý học,"Tổ hợp môn: B00,C00,D01",NV1: 17.00
17,Mã ngành: 7310501,Tên ngành: Địa lý học,"Tổ hợp môn: C00,D15",NV1: 16.00
18,Mã ngành: 7320101,Tên ngành: Báo chí,"Tổ hợp môn: C00,D14,D15",NV1: 18.50
19,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn: B00,NV1: 18.00
20,Mã ngành: 7440102,Tên ngành: Vật lý học,"Tổ hợp môn: A00,A01",NV1: 16.00
21,Mã ngành: 7440112,Tên ngành: Hóa học (Phân tích môi trường),"Tổ hợp môn: A00,D07",NV1: 16.25
22,Mã ngành: 7440217,Tên ngành: Địa lý tự nhiên,"Tổ hợp môn: A00,B02",NV1: 16.25
23,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,"Tổ hợp môn: A00,D07",NV1: 16.00
24,Mã ngành: 7460112,Tên ngành: Toán ứng dụng,"Tổ hợp môn: A00,A01",NV1: 16.00
25,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01",NV1: 19.00
26,Mã ngành: 7480201CLC,Tên ngành: Công nghệ thông tin (CLC),"Tổ hợp môn: A00,A01",NV1: 16.50
27,Mã ngành: 7760101,Tên ngành: Công tác xã hội,"Tổ hợp môn: C00,D01",NV1: 16.00
28,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,Tổ hợp môn: B00,NV1: 16.00
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
