,0,1,2,3
0,Mã ngành: 101,"Tên ngành: Công nghệ thông tin (các chuyên ngành: Hệ thống thông tin, Công nghệ phần mềm, Mạng máy tính và Viễn thông, Lập trình game, An ninh mạ",Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 102,Tên ngành: Xây dựng dân dụng và công nghiệp,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 103,Tên ngành: Xây dựng cầu đường,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 104,"Tên ngành: Điện và Điện tử (các chuyên ngành: Điện tử viễn thông, Điện tử tự động hóa cơ khí ô tô)",Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 300,"Tên ngành: Công nghệ sinh học và môi trường (các chuyên ngành Quản lí môi trường, Công nghệ Sinh y học môi trường, Công nghệ sinh học t",Tổ hợp môn:,NV1: 14.00
5,Mã ngành: 300,"Tên ngành: Công nghệ sinh học và môi trường (các chuyên ngành Quản lí môi trường, Công nghệ Sinh y học môi trường, Công nghệ sinh học t",Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 301,Tên ngành: Điều dưỡng đa khoa,Tổ hợp môn:,NV1: 14.00
7,Mã ngành: 302,Tên ngành: Kĩ thuật y học (xét nghiệm y khoa),Tổ hợp môn:,NV1: 14.00
8,Mã ngành: 400,Tên ngành: Ngoại thương (Kinh tế đối ngoại),Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 401,Tên ngành: Kế toán Kiểm toán,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 402,Tên ngành: Tài chính ngân hàng,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 403,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 404,"Tên ngành: Quản trị du lịch, khách sạn, Resort Center",Tổ hợp môn:,NV1: 13.00
13,Mã ngành: 405,Tên ngành: Quản trị lữ hành và hướng dẫn du lịch,Tổ hợp môn:,NV1: 13.00
14,Mã ngành: 406,"Tên ngành: Quản trị nhà bếp và chế biến thực phẩm, nấu ăn",Tổ hợp môn:,NV1: 13.00
15,Mã ngành: 407,Tên ngành: Luật kinh doanh,Tổ hợp môn:,NV1: 13.00
