,0,1,2,3
0,Mã ngành: 7220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 7220213,Tên ngành: Đông phương học,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 7220330,Tên ngành: Văn học,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7310301,Tên ngành: Xã hội học,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 7310401,Tên ngành: Tâm lý học,Tổ hợp môn:,NV1: 14.00
6,Mã ngành: 7310401,Tên ngành: Tâm lý học,Tổ hợp môn:,NV1: 13.00
7,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 7340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 7520207,"Tên ngành: Kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 13.00
12,Mã ngành: C220201,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 10.00
13,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
14,Mã ngành: C340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 10.00
15,Mã ngành: C340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 10.00
16,Mã ngành: C480202,Tên ngành: Tin học ứng dụng,Tổ hợp môn:,NV1: 10.00
17,Mã ngành: C510302,"Tên ngành: Công nghệ kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 10.00
18,,,,
19,,,,
20,,,,
