,0,1,2,3
0,Mã ngành: 7220113,Tên ngành: Việt Nam học,"Tổ hợp môn: A00,A01,C00,D01,D02,D03,D04,D05,D06,D26,D27,D28,D29,D30",NV1: 15.00
1,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: D01,D02,D03,D04,D05,D06",NV1: 15.00
2,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,"Tổ hợp môn: D01,D02,D03,D04,D05,D06",NV1: 15.00
3,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: D01,D02,D03,D04,D05,D06",NV1: 15.00
4,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00,A01,D01,D02,D03,D04,D05,D06,D26,D27,D28,D29,D30",NV1: 15.00
5,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00,A01,C00,D01,D02,D03,D04,D05,D06,D26,D27,D28,D29,D30",NV1: 15.00
6,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,"Tổ hợp môn: A00,A01,D01,D02,D03,D04,D05,D06,D26,D27,D28,D29,D30",NV1: 15.00
7,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,D01,D02,D03,D04,D05,D06,D26,D27,D28,D29,D30",NV1: 15.00
8,Mã ngành: 7340406,Tên ngành: Quản trị văn phòng,"Tổ hợp môn: A00,A01,C00,D01,D02,D03,D04,D05,D06,D26,D27,D28,D29,D30",NV1: 15.00
9,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00,B00,D07,D08,D21,D22,D23,D24,D25,D31,D32,D33,D34,D35",NV1: 15.00
10,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01,C01,D01,D02,D03,D04,D05,D06,D26,D27,D28,D29,D30",NV1: 15.00
11,Mã ngành: 7510202,Tên ngành: Công nghệ chế tạo máy,"Tổ hợp môn: A00,A01,D01,D02,D03,D04,D05,D06,D26,D27,D28,D29,D30",NV1: 15.00
12,Mã ngành: 7510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử,"Tổ hợp môn: A00,A01,D01,D02,D03,D04,D05,D06,D26,D27,D28,D29,D30",NV1: 15.00
13,Mã ngành: 7510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử","Tổ hợp môn: A00,A01,D01,D02,D03,D04,D05,D06,D27,D28,D29,D30",NV1: 15.00
14,Mã ngành: 7510302,"Tên ngành: Công nghệ kỹ thuật điện tử, truyền thông","Tổ hợp môn: A00,A01,C02,D01,D02,D03,D04,D05,D06,D26,D27,D28,D29,D30",NV1: 15.00
15,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,"Tổ hợp môn: A00,B00,D07,D08,D21,D22,D23,D24,D25,D31,D32,D33,D34,D35",NV1: 15.00
16,Mã ngành: 7580102,Tên ngành: Kiến trúc,"Tổ hợp môn: V00,V01,V02,V05,V07,V08,V09,V10,V11",NV1: 18.00
17,Mã ngành: 7580105,Tên ngành: Quy hoạch vùng và đô thị,"Tổ hợp môn: V00,V01,V05,V06",NV1: 18.00
18,Mã ngành: 7580201,Tên ngành: Kỹ thuật công trình xây dựng,"Tổ hợp môn: A00,A01,C01,D01,D02,D03,D04,D06,D06,D26,D27,D28,D29,D30",NV1: 15.00
19,Mã ngành: 7580205,Tên ngành: Kỹ thuật xây dựng công trình giao thông,"Tổ hợp môn: A00,A01,C01,D01,D02,D03,D04,D06,D06,D27,D28,D29,D30",NV1: 15.00
20,Mã ngành: 7580301,Tên ngành: Kinh tế xây dựng,"Tổ hợp môn: A00,A01,D01,D02,D03,D04,D05,D06,D10,D16,D17,D18,D19,D20,D26,D27,D28,D29,D30",NV1: 15.00
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
