,0,1,2,3
0,Mã ngành: 7210405,Tên ngành: Thiết kế nội thất,Tổ hợp môn:,NV1: 15.00
1,Mã ngành: 7210405,Tên ngành: Thiết kế nội thất,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.50
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.50
5,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 14.00
7,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 7580110,Tên ngành: Kiến trúc cảnh quan,Tổ hợp môn:,NV1: 15.00
9,Mã ngành: 7580110,Tên ngành: Kiến trúc cảnh quan,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 7620205,Tên ngành: Lâm sinh,Tổ hợp môn:,NV1: 14.00
11,Mã ngành: 7620205,Tên ngành: Lâm sinh,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 7620211,Tên ngành: Quản lý tài nguyên rừng (Kiểm lâm),Tổ hợp môn:,NV1: 14.00
13,Mã ngành: 7620211,Tên ngành: Quản lý tài nguyên rừng (Kiểm lâm),Tổ hợp môn:,NV1: 13.00
14,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 13.50
15,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 14.00
16,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 13.00
17,Mã ngành: C210405,Tên ngành: Thiết kế nội thất,Tổ hợp môn:,NV1: 12.00
18,Mã ngành: C210405,Tên ngành: Thiết kế nội thất,Tổ hợp môn:,NV1: 10.00
19,Mã ngành: C310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 10.00
20,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
21,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
22,Mã ngành: C440301,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 11.00
23,Mã ngành: C440301,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 10.00
24,Mã ngành: C580110,Tên ngành: Kiến trúc cảnh quan,Tổ hợp môn:,NV1: 12.00
25,Mã ngành: C580110,Tên ngành: Kiến trúc cảnh quan,Tổ hợp môn:,NV1: 10.00
26,Mã ngành: C620205,Tên ngành: Lâm sinh,Tổ hợp môn:,NV1: 11.00
27,Mã ngành: C620205,Tên ngành: Lâm sinh,Tổ hợp môn:,NV1: 10.00
28,Mã ngành: C620211,Tên ngành: Quản lý tài nguyên rừng (Kiểm lâm),Tổ hợp môn:,NV1: 11.00
29,Mã ngành: C620211,Tên ngành: Quản lý tài nguyên rừng (Kiểm lâm),Tổ hợp môn:,NV1: 10.00
30,Mã ngành: C850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 11.00
31,Mã ngành: C850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 10.00
32,,,,
33,,,,
