,0,1,2,3
0,Mã ngành: 7220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 13.50
1,Mã ngành: 7220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 13.50
2,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 13.50
3,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 13.50
4,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.50
5,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.50
7,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.50
9,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 7510102,Tên ngành: CN kỹ thuật công trình xây dựng,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 7510103,Tên ngành: CN kỹ thuật xây dựng,Tổ hợp môn:,NV1: 13.00
13,Mã ngành: 7510201,Tên ngành: CN kỹ thuật cơ khí,Tổ hợp môn:,NV1: 13.00
14,Mã ngành: 7510205,Tên ngành: CN kỹ thuật ô tô,Tổ hợp môn:,NV1: 13.00
15,Mã ngành: 7510301,"Tên ngành: CN kỹ thuật điện, điện tử",Tổ hợp môn:,NV1: 13.00
16,Mã ngành: 7510302,"Tên ngành: CN kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 13.00
17,Mã ngành: 7510401,Tên ngành: CN kỹ thuật hóa học,Tổ hợp môn:,NV1: 13.00
18,Mã ngành: 7510401,Tên ngành: CN kỹ thuật hóa học,Tổ hợp môn:,NV1: 14.00
19,Mã ngành: 7520122,Tên ngành: Kỹ thuật tàu thủy,Tổ hợp môn:,NV1: 13.00
20,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 13.00
21,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 14.00
22,Mã ngành: 7540204,Tên ngành: CN may,Tổ hợp môn:,NV1: 13.00
23,Mã ngành: C220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 10.50
24,Mã ngành: C220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 10.50
25,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.50
26,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
27,Mã ngành: C340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 10.50
28,Mã ngành: C340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 10.00
29,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.50
30,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
31,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 10.00
32,Mã ngành: C510201,Tên ngành: CN kỹ thuật cơ khí,Tổ hợp môn:,NV1: 10.00
33,Mã ngành: C510203,"Tên ngành: CN kỹ thuật cơ, điện tử",Tổ hợp môn:,NV1: 10.00
34,Mã ngành: C510205,Tên ngành: CN kỹ thuật ô tô,Tổ hợp môn:,NV1: 10.00
35,Mã ngành: C510206,Tên ngành: CN kỹ thuật nhiệt,Tổ hợp môn:,NV1: 10.00
36,Mã ngành: C510301,"Tên ngành: CN kỹ thuật điện, điện tử",Tổ hợp môn:,NV1: 10.00
37,Mã ngành: C510302,"Tên ngành: CN kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 10.00
38,Mã ngành: C510401,Tên ngành: CN kỹ thuật hóa học,Tổ hợp môn:,NV1: 11.00
39,Mã ngành: C510401,Tên ngành: CN kỹ thuật hóa học,Tổ hợp môn:,NV1: 10.00
40,Mã ngành: C510503,Tên ngành: CN hàn,Tổ hợp môn:,NV1: 10.00
41,Mã ngành: C540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 11.00
42,Mã ngành: C540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 10.00
43,Mã ngành: C540204,Tên ngành: CN may,Tổ hợp môn:,NV1: 10.00
44,Mã ngành: C540206,Tên ngành: CN da giầy,Tổ hợp môn:,NV1: 10.00
